arquivo,mean,median,max,min,std,cv,mean_abs_diff,std_diff,max_diff,peak_count,peak_ratio,autocorr_lag1,autocorr_lag60,entropy,cluster
RestDistrito--19-05-2025--2025-05-20.json,2110.6488111400463,3157.324333333333,5624.5655,-14892.017,2587.934812964694,1.2261323623833218,264.9376433866111,742.7175767844129,8563.005666666668,0.0,0.0,0.9588393906345196,0.5146698134429852,2.530294692605282,2
CentroCultural--06-10-2025--2025-10-09.json,1474.3911111111113,1447.4025,12150.35,168.365,1162.421773486799,0.7884080178771495,37.71811674774148,245.6884759010234,6685.814999999999,7.0,0.0048611111111111,0.977666917746462,0.6705977857096682,2.329905712971743,2
PlinioLemos--06-01-2025--2025-01-09.json,6706.833159722222,4930.030000000001,19173.455,-1833.95,4954.863379371881,0.7387783863669418,395.13800555941634,935.7050799709522,7300.425,55.0,0.0381944444444444,0.9821788276925136,0.7825906990058901,3.114492412659972,0
PDC--09-06-2025--2025-06-12.json,5551.0390590277775,2781.66,11166.68,236.85,5177.403831774415,0.9326909388890516,33.77170257122999,120.4086755000966,1928.32,0.0,0.0,0.999729557399222,0.8528379450763444,1.508666206477855,2
RestDistrito--19-05-2025--2025-05-23.json,1583.059517332176,3000.62475,6148.211666666667,-15309.331333333334,3064.1708441144533,1.935600532112839,303.68727872365065,874.1263326308999,10168.934666666664,0.0,0.0,0.9593297815374858,0.5626681737333338,2.5616479646649686,2
LSD--03-03-2025--2025-03-03.json,16955.9396775463,16594.534166666665,22200.198666666667,13623.461333333336,2025.42552454386,0.1194522723636487,681.2275595320825,980.740152980502,4392.730166666666,41.0,0.0284722222222222,0.8827586680728556,0.5281715991558629,3.5853089461985204,0
DrEdigley--06-01-2025--2025-01-09.json,53392.45719097222,53382.375,91141.755,14807.815,20589.11801160089,0.3856184767439805,4497.664270326615,5687.676799069923,22687.505,0.0,0.0,0.9618474191904915,0.8638082559098649,3.770913179757377,3
DrEdigley--06-01-2025--2025-01-07.json,53052.01520833333,52798.9,91746.885,18533.345,18671.739630370736,0.3519515621988626,4578.837123002086,5833.20716250026,22339.270000000004,1.0,0.0006944444444444,0.951183575348446,0.8484363062932146,3.7746658999388,3
UPADina--04-08-2025--2025-08-07.json,16980.45238541667,17192.6325,26320.195,7960.3,3771.3395755394095,0.2220988869989325,1158.80446838082,1516.4356541549532,8315.955,12.0,0.0083333333333333,0.919209181166881,0.6228027296856747,3.6894683347891,0
LSD--03-03-2025--2025-03-08.json,17348.053871146676,17317.15125,21080.93866666667,13810.119166666667,1787.9932959470823,0.1030659294251372,646.5267701429967,941.7660418586884,4091.367833333336,1.0,0.0006944444444444,0.8612745619417599,0.5554530141034836,3.688767863208021,0
PDC--09-06-2025--2025-06-15.json,5241.724239583334,2622.09,11167.19,123.09,4884.201430731693,0.93179290010112,40.729534398888106,414.9540111575244,10881.155,0.0,0.0,0.9963909755165368,0.7965171731895202,1.9775816650107303,2
RC02--14-07-2025--2025-07-15.json,-10639.164269393632,-10711.485166666664,132.67333333333335,-21344.5135,3865.81723796956,-0.363357228075762,1011.7324603891592,1363.677988429722,7094.450333333333,30.0,0.0208333333333333,0.9378050728850594,-0.0731424450618155,3.589859631811752,0
ssmoveis--12-05-2025--2025-05-17.json,23780.672541666678,19301.185,99867.06,-39267.06,26064.111939421808,1.0960208082321583,4979.50830437804,11265.353981279788,74358.72,48.0,0.0333333333333333,0.9066213856627512,0.3582917337720878,2.871849367797781,0
Andrey--13-01-2025--2025-01-14.json,746.6478162204379,524.1931666666667,3346.188833333333,183.719,567.2980447456082,0.7597933489142101,68.57333529204166,247.17587046746308,2928.4736666666663,102.0,0.0708333333333333,0.9051349165990102,0.0437864616469034,2.7916403288177998,0
CentroCultural--06-10-2025--2025-10-12.json,460.9924583333333,406.575,1826.73,72.315,230.84268180716035,0.5007515364605882,20.101535788742183,63.82721926501868,1325.145,61.0,0.0423611111111111,0.9617498730491628,0.4498514012980667,3.096853918031844,0
RC02--14-07-2025--2025-07-18.json,-10006.865917687071,-10754.251749999998,5832.3815,-18306.11183333333,4461.323413774535,-0.4458262407502806,920.95142437859,1254.7140937920185,7410.9645,57.0,0.0395833333333333,0.9604082192187662,0.0633026547619451,3.5428002853635494,0
Polpa1--18-08-2025--2025-08-19.json,69716.59136111112,100968.375,204090.55,-177349.67,114776.73501227604,1.6463331435377675,11264.16535093815,27606.236191446707,209013.91,0.0,0.0,0.9710749641173284,0.7462142182208983,3.38180496178102,1
EvaldoIlum-data--03-11-2025--2025-11-07.json,10660.74326388889,10405.755,21894.68,0.0,10330.89861585976,0.969059882611899,33.910201528839465,310.39746274051123,8124.889999999999,0.0,0.0,0.9995486146751512,0.8852938437696227,1.481709743115703,2
RC02--14-07-2025--2025-07-19.json,-8775.063411011904,-9295.424083333335,8483.814166666667,-18511.720833333333,4074.004367304221,-0.4642706470008772,961.833585476025,1279.9591260567624,6653.477833333332,76.0,0.0527777777777777,0.9505585232259404,0.042395568408097,3.3637932101810337,0
DrEdigley--06-01-2025--2025-01-06.json,50997.84481944444,48632.39,89159.68,17266.805,19257.311455721447,0.3776102994920881,4376.654517025712,5585.923506627768,20077.545,0.0,0.0,0.9579413937224912,0.8624428304021498,3.797615273421375,3
Andrey--13-01-2025--2025-01-13.json,582.492020323111,462.803,3491.621833333333,175.63416666666666,433.9263791387331,0.7449481949950699,57.8844000306239,214.16615952794,2810.775333333333,70.0,0.0486111111111111,0.8782795907048595,-0.114364021524643,2.520405399428729,0
Fellype--22-09-2025--2025-09-24.json,140.31279441125113,130.84458333333333,4700.2981666666665,12.620333333333331,218.094708846144,1.5543465566434178,11.263763825797978,142.44212587457923,4153.945333333333,6.0,0.0041666666666666,0.7868601765964167,0.0025835375423551,1.0616952170391685,2
PlinioLemos--06-01-2025--2025-01-06.json,5239.13948263889,4515.34,16201.065,-2730.99,4309.667237646229,0.8225906662587085,408.6146316886727,959.6412021018452,6972.000000000001,174.0,0.1208333333333333,0.9752256266355616,0.67734568849725,3.134333297433746,0
Polpa1--18-08-2025--2025-08-22.json,49486.33286111111,68950.32500000001,190507.23,-214231.38,110523.54644532665,2.233415572649589,9591.571271716472,22965.281191015507,159900.83000000002,0.0,0.0,0.9784133091669512,0.8254497170505679,3.392061862396367,1
UPADina--04-08-2025--2025-08-06.json,16911.02242013889,17681.059999999998,26439.685,7430.225,3825.8174398748592,0.2262321783287801,957.3136483669214,1317.488490320476,12467.55,9.0,0.00625,0.940742569078717,0.6470686810828661,3.6187187666032927,0
CentroCultural--06-10-2025--2025-10-08.json,3353.4826284722226,1188.74,14576.81,158.905,4404.279291991347,1.3133448954222988,69.40441626129257,417.7686643737971,8817.84,118.0,0.0819444444444444,0.99550300768753,0.4968570828757928,2.5165525528677897,0
PDC--09-06-2025--2025-06-10.json,5328.448559027778,4964.879999999999,11133.35,236.63,4931.771336218525,0.9255548367569058,33.69129603891592,97.60871729692376,1260.6899999999996,0.0,0.0,0.9998041553616608,0.8553926192829238,1.6817944546771946,2
ISEA--22-09-2025--2025-09-26.json,83867.03111111111,84979.86,116128.7,56725.75,12342.658687729796,0.1471693766216386,4732.041945795691,6788.355129402808,27301.050000000003,18.0,0.0125,0.8488044177325524,0.5321035732296705,3.686283181447802,3
